Sno,text,pitch,speed,volume
1,The sun always rises in the east reminding us each day of a fresh opportunity to begin anew.,1.1,1.11,1.26
2,Hard work always pays off because consistent effort and dedication lead to long-term achievements.,1.12,1.0,0.91
3,Knowledge is power as it enables people to make better decisions and shape their own future.,1.02,1.29,0.83
4,A healthy mind lives in a healthy body which is why balance between physical and mental wellness is important.,1.2,1.18,1.18
5,"Success comes to those who prepare by setting goals, following a plan, and practicing perseverance.",1.09,1.03,1.13
6,"Time is the most valuable resource because once it is gone, it can never be retrieved again.",1.05,1.14,1.29
7,Practice makes a person perfect since repeated attempts gradually improve skills and boost confidence.,0.97,0.94,0.93
8,Gratitude turns little into enough and teaches us to appreciate the small blessings in everyday life.,0.84,1.14,1.13
9,"Every journey begins with a single step, reminding us that progress always starts with action.",1.15,1.08,0.98
10,Kind words can change someone's day and even have the power to improve their entire outlook on life.,1.04,1.2,0.97
11,"Happiness is found in small moments like laughter, friendship, and the warmth of human connection.",0.95,1.13,1.22
12,Failure is the pillar of success because mistakes help us learn valuable lessons for future growth.,0.85,0.94,0.85
13,Innovation distinguishes leaders from followers as only creative thinkers can drive real change and progress.,0.89,1.16,1.08
14,"The best way to predict the future is to create it through vision, careful planning, and determination.",0.84,0.96,1.05
15,Learning never exhausts the mind but instead expands perspectives and keeps curiosity alive throughout life.,0.85,1.11,1.16
16,A calm mind brings inner strength which enables resilience during challenges and clarity in difficult times.,1.01,1.09,0.86
17,Discipline is the bridge between goals and success because persistence turns dreams into real achievements.,0.86,0.92,1.16
18,Little progress each day adds up to big results when patience and consistency are maintained over time.,0.91,0.91,0.88
19,Your attitude determines your direction because positive thinking guides behavior and fuels motivation.,0.87,1.12,1.39
20,Great things never come from comfort zones since growth requires challenges that push us beyond limits.,0.94,0.92,0.94
